206,1864,-2938
300,1668,-2814
601,1143,-2555
951,632,-2244
1148,357,-1786
1475,-71,-1204
1429,-377,-786
1275,-534,-456
1327,-605,223
1165,-487,854
1411,-120,1422
1730,224,1795
1075,-23,2810
999,1282,3302
889,2108,3458
736,2958,3382
475,3752,3258
412,4738,2388
528,5068,1703
481,5472,754
660,5437,277
1124,4842,-695
1449,3791,-1606
1429,3014,-1970
1200,2009,-2413
448,1754,-2880
-433,1663,-3018
-1024,1547,-3057
-1227,1529,-3070
-1870,1159,-2871
-1953,1155,-2888
-2097,1190,-2847
-2395,1606,-2783
-1891,2370,-3027
-1709,2451,-3037
-1679,3048,-2963
-1967,3275,-2880
-1547,3554,-2776
-1373,3686,-2678
-1047,3748,-2828
-665,3723,-2772
-598,3702,-2809
-949,3750,-2764
-2115,3697,-2564
-2683,3701,-2208
-3017,3907,-1983
-3935,3314,-1509
-4352,2662,-583
-4543,2248,194
-4486,2132,886
-4144,2091,1761
-3654,1868,2530
-3085,1143,2890
-2455,382,2924
-2483,501,2927
-2926,422,2547
-3416,325,2013
-3709,222,1079
-3983,494,131
-3862,670,-857
-3728,580,-999
-3620,486,-1127
-3307,8,-1006
-3255,-227,-604
-2926,-622,-318
-2735,-770,-208
-2402,-987,-10
-2104,-1201,251
-1702,-1315,468
-1220,-1362,843
-949,-1320,1182
-619,-1235,1275
-287,-1078,1669
-14,-833,2029
607,-383,2397
753,102,2746
1067,796,3010
1208,1417,3121
1133,2078,3285
828,2843,3348
614,3614,3223
287,4243,2935
398,4570,2580
573,4627,2371
542,4805,1994
289,5127,1379
-290,5431,965
-737,5506,646
-1018,5509,475
-1148,5483,123
-1536,5636,42
-1857,5537,-201
-1721,5635,-306
-1296,5634,-726
-935,5727,-579
-269,5558,-712
544,5104,-895
594,5195,-649
1038,4986,-239
1648,4351,-506
1828,3685,-1120
1494,3236,-1968
878,2683,-2600
361,2285,-2891
-33,1679,-2961
-99,969,-2832
122,-52,-2340
200,-703,-1659
130,-1060,-956
142,-1270,-397
-47,-1357,-332
-135,-1309,-32
-95,-1267,171
44,-1452,532
-236,-1388,1054
-747,-1230,1595
-1287,-840,2194
-1802,-556,2339
-1526,-286,2742
-1140,-149,2937
-901,-59,3048
-607,174,3215
182,26,3236
578,375,3295
614,816,3456
661,1099,3480
995,1263,3325
1521,1143,2929
1740,1097,2691
2173,1109,2044
2416,1050,1503
2484,1116,1361
2411,1154,1455
2384,1154,1515
2376,835,1480
2289,569,1367
2050,273,1427
1450,-258,1421
719,-798,1421
71,-1161,1012
-247,-1359,295
-250,-1288,-388
-96,-1152,-529
339,-1124,-490
758,-1093,-68
675,-1162,334
820,-1135,736
889,-1011,975
1089,-673,1405
1059,-642,1501
951,-637,1761
757,-724,1870
584,-798,1951
457,-833,1821
371,-938,1817
409,-943,1738
365,-906,1699
184,-1011,1645
246,-874,1858
277,-661,2184
361,-452,2393
398,-442,2368
577,-226,2517
711,422,3029
723,635,3164
702,1503,3491
541,2392,3626
273,3404,3477
-220,4501,2985
-298,4930,2559
-394,5709,1175
75,5561,228
595,5033,-907
473,3767,-2357
191,3077,-2811
218,2261,-2868
626,1161,-2555
1746,588,-1474
2342,654,-193
2515,1101,892
2479,1351,1164
2438,1805,1573
2283,2095,2119
1679,2526,2785
886,3123,3276
96,3608,3367
-780,3908,3452
-1492,4055,3274
-2087,4156,2990
-2738,4280,2698
-3330,4234,2233
-3906,3918,1736
-4338,2506,1575
-4225,1844,1635
-4162,1757,1705
-4017,1644,1924
-3725,1400,2337
-3386,1109,2490
-3465,969,2228
-3547,960,2200
-3541,1261,2366
-3560,1506,2428
-3682,1967,2375
-3825,2537,2251
-3956,2815,2080
-4040,3584,1524
-4030,3866,1219
-4011,4408,632
-3661,4672,-355
-3345,4540,-1427
-2196,4287,-2358
-1246,3808,-2825
-905,3207,-3011
-938,2609,-3106
59,1444,-2715
199,740,-2422
-65,-32,-2086
-558,-442,-1676
-919,-1004,-820
-1215,-1108,-581
-1911,-951,-406
-2506,-728,-193
-2623,-581,-734
-2832,-341,-944
-2995,154,-1566
-2993,813,-2123
-2913,1390,-2445
-2590,1867,-2746
-1881,2317,-3011
-1204,2740,-3108
-1046,3109,-3020
-1309,3816,-2859
-1023,3986,-2767
-746,3913,-2705
-194,3992,-2553
-11,3754,-2635
-402,3381,-2871
-923,3010,-3083
-1352,2322,-3132
-1605,1927,-3031
-1778,1842,-3018
-1913,1458,-2905
-2039,1329,-2815
-2477,1148,-2593
-2955,790,-2066
-3178,678,-1819
-3719,613,-1024
-4003,687,-127
-4061,728,360
-4091,932,1005
-4058,1147,1390
-3848,1913,2037
-4246,3326,1318
-4115,4474,377
-3315,5151,-418
-2618,5509,-490
-1597,5446,-1011
-768,4891,-1791
209,3770,-2487
1253,2673,-2326
811,2084,-2617
489,1065,-2627
-209,572,-2566
-822,581,-2696
-1864,921,-2750
-2716,979,-2361
-3356,1088,-1964
-3590,1294,-1912
-4105,1425,-1061
-4241,1361,-504
-4336,1561,-25
-4238,2237,978
-3935,2665,1929
-3525,2569,2613
-3247,2330,2988
-2886,1817,3205
-1283,626,3475
-376,-72,3163
-50,-204,2897
239,-530,2442
299,-859,2004
-252,-1207,1505
-568,-1243,1072
-1102,-1271,696
-1819,-1129,922
-1876,-839,1724
-1605,-745,2234
-1121,-606,2501
-693,-824,2385
-90,-638,2507
-50,-304,2832
84,506,3451
329,744,3554
761,1240,3510
1332,2320,3204
1036,3718,2866
1669,4152,1852
1822,4326,-80
1451,4244,-1154
1250,3695,-1878
768,2621,-2665
